City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
11,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
12,Altay,CN,79.57,clear sky,47.8667,88.1167,Jinqiao Hotel
14,Atuona,PF,77.68,overcast clouds,-9.8,-139.0333,Villa Enata
29,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Konya,TR,76.48,clear sky,38.1667,32.5,Bahcesaray Koyu Muhtarligi
38,Marsh Harbour,BS,79.03,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
39,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
43,Galle,LK,79.39,broken clouds,6.0367,80.217,Amangalla
50,Axim,GH,79.99,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
57,Xinzhou,CN,76.89,broken clouds,38.4092,112.7333,Shell Hotel - Xinzhou
66,Motygino,RU,75.16,clear sky,58.1831,94.7592,"Gostinitsa ""Uyut"""
67,Teya,RU,75.78,overcast clouds,60.3778,92.6267,
74,Tura,IN,77.22,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
88,Freeport,US,78.1,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
91,Brownwood,US,78.3,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
95,Isangel,VU,75.79,clear sky,-19.55,169.2667,Tanna Lodge
113,Laguna,US,75.22,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
116,Tual,ID,79.86,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
119,Muisne,EC,75.31,overcast clouds,0.6,-80.0333,Quinta Samay
124,Phan Thiet,VN,79.97,broken clouds,10.9333,108.1,Hotel Saigon-PT
146,Shaoyang,CN,77.61,few clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
154,Huangmei,CN,78.17,few clouds,30.1924,116.025,Tianxiachan Hotel
161,Fare,PF,77.74,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
170,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
172,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
186,Dingle,PH,78.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
187,Ilheus,BR,76.82,scattered clouds,-14.7889,-39.0494,Barravento Hotel
195,Shingu,JP,78.91,scattered clouds,33.7333,135.9833,Shingu UI Hotel
196,Yahotyn,UA,78.71,overcast clouds,50.2798,31.7625,Oselya Guest House
199,Tongchuan,CN,75.94,scattered clouds,35.0806,109.0897,Tongchuan Hotel
205,Salalah,OM,78.89,haze,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
206,Along,IN,78.75,scattered clouds,28.1667,94.7667,Hotel West
213,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
214,Sunyani,GH,79.7,overcast clouds,7.3399,-2.3268,Nass Lodge
217,Hamilton,US,76.06,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
221,Coruripe,BR,77.23,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
227,Bengkulu,ID,79.66,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
228,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
234,Sukagawa,JP,75.31,scattered clouds,37.2833,140.3833,Hotel Wing International Sukagawa
