City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-07-19 18:14:24,-33.65,115.3333,52.09,84,86,11.97
1,Rikitea,PF,2021-07-19 18:19:17,-23.1203,-134.9692,70.38,65,98,25.01
2,Arraial Do Cabo,BR,2021-07-19 18:19:17,-22.9661,-42.0278,69.76,64,75,17.27
3,Vardo,NO,2021-07-19 18:15:10,70.3705,31.1107,48.4,87,75,13.8
4,Hermanus,ZA,2021-07-19 18:15:46,-34.4187,19.2345,51.91,82,99,7.58
5,Kodiak,US,2021-07-19 18:19:17,57.79,-152.4072,60.31,77,1,6.91
6,Hobart,AU,2021-07-19 18:15:04,-42.8794,147.3294,49.26,74,99,3.0
7,La Ronge,CA,2021-07-19 18:19:18,55.1001,-105.2842,61.05,63,75,8.05
8,Severodvinsk,RU,2021-07-19 18:19:18,64.5635,39.8302,60.91,72,25,1.68
9,Hilo,US,2021-07-19 18:14:38,19.7297,-155.09,79.29,94,90,6.91
10,Ponta Delgada,PT,2021-07-19 18:19:19,37.7333,-25.6667,72.32,83,40,14.97
11,Vanimo,PG,2021-07-19 18:19:19,-2.6741,141.3028,76.86,89,66,1.16
12,Castro,BR,2021-07-19 18:19:19,-24.7911,-50.0119,53.22,44,1,6.85
13,Bredasdorp,ZA,2021-07-19 18:19:19,-34.5322,20.0403,50.29,82,99,8.43
14,Fare,PF,2021-07-19 18:19:20,-16.7,-151.0167,78.69,75,100,24.43
15,Ushuaia,AR,2021-07-19 18:19:05,-54.8,-68.3,46.06,57,40,1.14
16,Makaha,US,2021-07-19 18:19:20,21.4694,-158.2175,76.95,94,90,5.75
17,Yellowknife,CA,2021-07-19 18:19:17,62.456,-114.3525,70.29,67,75,1.99
18,Thompson,CA,2021-07-19 18:16:46,55.7435,-97.8558,66.36,39,40,2.3
19,Kahului,US,2021-07-19 18:16:07,20.8947,-156.47,77.02,87,40,16.11
20,Owando,CG,2021-07-19 18:19:21,-0.4819,15.8999,85.23,34,85,2.21
21,Butaritari,KI,2021-07-19 18:14:30,3.0707,172.7902,82.74,71,100,7.18
22,Adra,ES,2021-07-19 18:19:21,36.7496,-3.0206,99.63,70,56,1.77
23,Teya,RU,2021-07-19 18:19:21,60.3778,92.6267,52.92,93,30,5.5
24,Ponta Do Sol,PT,2021-07-19 18:19:22,32.6667,-17.1,78.01,79,2,4.25
25,Roebourne,AU,2021-07-19 18:19:22,-20.7833,117.1333,69.06,62,60,4.12
26,Lebu,CL,2021-07-19 18:15:46,-37.6167,-73.65,55.87,73,60,14.07
27,Tazovskiy,RU,2021-07-19 18:19:22,67.4667,78.7,46.44,72,25,6.24
28,Mahebourg,MU,2021-07-19 18:19:23,-20.4081,57.7,72.25,73,75,13.8
29,Mankera,PK,2021-07-19 18:19:23,31.3866,71.4407,92.19,55,85,12.01
30,Punta Arenas,CL,2021-07-19 18:17:01,-53.15,-70.9167,46.42,75,40,16.11
31,Miguel Calmon,BR,2021-07-19 18:19:23,-11.4289,-40.595,85.91,30,20,6.44
32,Taltal,CL,2021-07-19 18:19:24,-25.4,-70.4833,65.25,64,77,6.13
33,Coihaique,CL,2021-07-19 18:19:24,-45.5752,-72.0662,49.95,71,75,4.61
34,Haines Junction,CA,2021-07-19 18:19:24,60.7522,-137.5108,58.95,82,96,2.3
35,Gambela,ET,2021-07-19 18:19:25,8.25,34.5833,70.2,96,78,2.21
