City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pyapon,MM,2021-07-24 13:19:05,16.2833,95.6833,80.04,88,100,9.51,heavy intensity rain
1,Victoria,HK,2021-07-24 13:19:05,22.2855,114.1577,90.21,81,78,1.01,broken clouds
2,Ancud,CL,2021-07-24 13:19:06,-41.8697,-73.8203,35.13,82,100,5.26,overcast clouds
3,Punta Arenas,CL,2021-07-24 13:19:06,-53.15,-70.9167,37.42,87,40,13.8,scattered clouds
4,Nikolskoye,RU,2021-07-24 13:19:06,59.7035,30.7861,71.4,32,9,7.38,clear sky
5,Ribeira Grande,PT,2021-07-24 13:19:07,38.5167,-28.7,79.2,69,40,19.57,scattered clouds
6,Ushuaia,AR,2021-07-24 13:18:07,-54.8,-68.3,35.26,80,40,5.75,scattered clouds
7,Barrow,US,2021-07-24 13:19:07,71.2906,-156.7887,37.42,93,90,8.05,mist
8,Rikitea,PF,2021-07-24 13:19:07,-23.1203,-134.9692,68.63,56,0,5.66,clear sky
9,Butaritari,KI,2021-07-24 13:19:08,3.0707,172.7902,83.59,71,0,16.89,clear sky
10,Yellowknife,CA,2021-07-24 13:19:08,62.456,-114.3525,50.56,73,75,5.01,broken clouds
11,Arraial Do Cabo,BR,2021-07-24 13:19:08,-22.9661,-42.0278,75.16,60,20,16.11,few clouds
12,Altay,CN,2021-07-24 13:19:09,47.8667,88.1167,79.57,35,1,11.18,clear sky
13,Salamiyah,SY,2021-07-24 13:19:09,35.0113,37.0532,94.24,29,0,20.94,clear sky
14,Atuona,PF,2021-07-24 13:19:09,-9.8,-139.0333,77.68,70,97,15.14,overcast clouds
15,Vaini,TO,2021-07-24 13:19:10,-21.2,-175.2,69.96,100,20,0.0,fog
16,Port Alfred,ZA,2021-07-24 13:19:10,-33.5906,26.891,62.62,49,0,20.13,clear sky
17,Iqaluit,CA,2021-07-24 13:19:10,63.7506,-68.5145,44.33,76,75,11.5,broken clouds
18,Kaitangata,NZ,2021-07-24 13:19:11,-46.2817,169.8464,41.94,55,100,4.61,overcast clouds
19,Hermanus,ZA,2021-07-24 13:19:11,-34.4187,19.2345,62.8,47,83,3.04,broken clouds
20,Dickinson,US,2021-07-24 13:19:11,29.4608,-95.0513,83.05,85,1,5.75,clear sky
21,Barcelona,ES,2021-07-24 13:19:12,41.3888,2.159,98.96,72,20,5.01,few clouds
22,Tasiilaq,GL,2021-07-24 13:19:12,65.6145,-37.6368,44.76,98,100,3.02,overcast clouds
23,Busselton,AU,2021-07-24 13:19:12,-33.65,115.3333,54.09,71,100,13.62,overcast clouds
24,Ust-Maya,RU,2021-07-24 13:19:12,60.4167,134.5333,68.05,99,100,8.48,heavy intensity rain
25,New Norfolk,AU,2021-07-24 13:19:13,-42.7826,147.0587,43.57,73,100,2.46,light rain
26,Paramonga,PE,2021-07-24 13:19:13,-10.6667,-77.8333,63.39,82,68,6.29,broken clouds
27,Camopi,GF,2021-07-24 13:19:14,3.1655,-52.3158,82.85,67,31,5.86,scattered clouds
28,Bredasdorp,ZA,2021-07-24 13:19:14,-34.5322,20.0403,65.52,39,95,6.91,overcast clouds
29,Kapaa,US,2021-07-24 13:19:14,22.0752,-159.319,79.12,82,90,3.0,light rain
